,Name,DMSO 1-3 Basal_1,DMSO 1-3 Basal_2,DMSO 1-3 Basal_3,DMSO 3-5 Basal_1,DMSO 3-5 Basal_2,DMSO 3-5 Basal_3,DMSO 5-7 Basal_1,DMSO 5-7 Basal_2,DMSO 5-7 Basal_3
105,Pro,40129636.15,37462044.59,45171727,21492804.99,24602733.48,22357909.78,17225005.56,22309440.64,17879588.36
106,Pro-OH,10807.38843,7385.101721,18361.71429,9391.639785,5289.768271,15242.48305,15761.58327,21717.85505,18195.57628
107,Propanoyl-CoA,,14.39749609,16.28571429,0,0,0,21.20085776,50.55270864,37.56807162
108,PRPP,0,0,0,0,0,0,225.6933524,135.7393851,351.3427825
109,Pyr,1325248.05,1256313.067,1481663.46,704463.2168,731677.2371,723458.2542,102188.3381,112991.2738,97257.01604
110,R5P,0,0,0,0,0,0,449.617584,692.7342606,849.9515106
111,Rib,2201884.281,2088950.203,2608016.317,1208064.023,1311666.052,1260312.178,178797.97,207215.959,176075.9866
112,S7P,1336.809917,2584.882629,2546.269841,821.1917563,899.2602496,1747.711864,4328.498928,3794.904832,4124.177546
113,SAM,20330.33058,23232.98905,20280.92063,19224.66846,13255.96257,24859.01695,13189.87848,12070.71376,15497.44498
114,Sarc,5912265.669,5158424.757,5834555.476,8736379.355,8745301.604,8654502.695,1318830.976,1133435.586,1269614.413
115,Ser,776236.6942,752860.6886,854873.5556,482084.9194,506566.7201,534861.3898,15179.01716,16515.30381,15526.67661
116,Sorbitol,1172413.041,1057970.376,1178239.397,1380352.823,1231538.182,1452760.331,1910052.934,2404907.635,1817277.512
117,Succ,123803.0083,103153.4742,103919.1429,81846.69355,75417.09447,78896.38983,59883.55254,59806.67643,55041.58523
118,T,37333.4876,29609.65571,43034.28571,3028.154122,12746.65775,4963.559322,99940.32881,143833.4407,106751.6225
119,Thr,17868037.5,15763929.28,20567657.6,10797058.23,11068522.26,11116796.67,3144578.22,3927528.437,2908515.532
120,Thymine,163058.8926,134426.4006,1225305.714,81500.3853,739792.1925,89179.52542,216913.2702,165685.5124,132327.4375
121,Trp,14798651.82,13366536.07,16388512.63,7116929.328,7666167.513,7095997.653,1312081.794,1739027.676,1434081.018
122,Tyr,33010951.11,27431038.36,38771292.27,17717414.19,20145448.46,18082714.67,4776820.836,6202149.81,5054883.349
123,Tyramine,1397276.86,1237252.097,1096338.238,109281.4875,102418.2086,95775.22881,49437.98427,63981.19693,51197.26595
124,U,9763.355372,26991.25196,10922.66667,50544.49821,,7673.90678,11272.21587,5296.987555,2643.711302
125,UDP,39498.26446,42164.82003,36283.5873,15703.66487,22687.37077,26992.65254,22911.78342,27353.68594,32153.69638
126,UDP-Glc,58562.01653,59570.84507,50124.07937,43671.47849,58096.24777,67352.78814,37412.75197,34939.22767,39743.62551
127,UDP-GlcNAc,39007.27273,28970.42254,19350.03175,49686.26344,49771.2656,59133.38136,89462.26233,92898.98243,115886.5386
128,UMP,3058.61157,2391.236307,3174.761905,1788.539427,3327.406417,1559.838983,2917.75554,2730.475842,4389.809772
129,Uracil,1162341.438,1089655.79,1265884.968,789003.7724,852153.7701,759076.9322,977042.1551,1257532.31,952625.1212
130,Uric Acid,240539.9835,224480.0469,283618.8413,188734.4534,193722.4153,180132.8559,417706.7298,467726.7862,434190.7758
131,Val,203949161.7,182100984.3,187539274.9,104663040.2,104826599.1,99572147.68,35305681.61,35589381.35,37809299.1
132,Vit-C,26939.4876,37767.84038,30388.95238,17009.66846,12291.84492,14565.04237,5469.857041,4981.295754,5519.25401
133,Xanthine,1539528,1422500.454,1687751.524,569301.5681,616804.9287,515519.839,26424.92495,25931.50805,24773.67027
